metric,mean,std,min,max,folds
accuracy,0.7110293961523011,0.18794626319740473,0.43907156673114117,0.9263565891472868,50
macro_f1,0.6950292867677034,0.18205421112260087,0.4340371127995324,0.9130280503166972,50
weighted_f1,0.7115146322225434,0.18567467110639208,0.428299950445194,0.9246410346443397,50
roc_auc_ovr_macro,0.7751198326781134,0.175102483108004,0.4130508937099195,0.9603237836921512,50
average_precision_macro,0.7750213093550704,0.15016169035173546,0.4882258237686048,0.9562661770327788,50
n_items,520.2,3.2134919654862837,516.0,527.0,50
precision_absent,0.8155595527758729,0.09998432972110582,0.6297872340425532,0.940983606557377,50
recall_absent,0.7114535419050579,0.2544138693590525,0.28160919540229884,0.985632183908046,50
f1_absent,0.7438847786682458,0.19567265761847472,0.4049586776859504,0.947075208913649,50
support_absent,348.4,1.8626292586293283,346.0,355.0,50
precision_present,0.6235259237144448,0.233212250566984,0.2910958904109589,0.9640287769784173,50
recall_present,0.7117191710557316,0.12935527192122348,0.42857142857142855,0.893491124260355,50
f1_present,0.6461737948671611,0.17639058084212886,0.3577981651376147,0.8789808917197452,50
support_present,171.8,2.634155559226539,168.0,177.0,50
