model,coverage,threshold,predictions,clips,accuracy,macro_f1
xgboost,1.0,0.3346,41600,4160,0.8298317308,0.75018991
xgboost,0.95,0.4271,39520,4145,0.8471659919,0.7646058815
xgboost,0.9,0.4665,37441,4116,0.8613819075,0.7740294011
xgboost,0.8,0.5297,33280,4024,0.8840745192,0.7839387054
xgboost,0.7,0.5913,29120,3814,0.903021978,0.7933012142
xgboost,0.6,0.6508,24960,3495,0.9151041667,0.7888557671
xgboost,0.5,0.6991,20800,3219,0.9202884615,0.7833771077
xgboost,0.4,0.7423,16640,2959,0.9239783654,0.7861201735
xgboost,0.3,0.7888,12480,2518,0.9297275641,0.7921738454
xgboost,0.2,0.8468,8321,1881,0.9367864439,0.7532328267
xgboost,0.1,0.8801,4160,1169,0.9519230769,0.7085387035
cnn,1.0,0.3731,4160,4160,0.8242788462,0.7064406987
cnn,0.95,0.6,3952,3952,0.8494433198,0.7259418483
cnn,0.9,0.7408,3744,3744,0.8771367521,0.753328753
cnn,0.8,0.9355,3328,3328,0.9230769231,0.8073575717
cnn,0.7,0.99,2912,2912,0.9539835165,0.8466739265
cnn,0.6,0.9989,2496,2496,0.9775641026,0.8768990389
cnn,0.5,0.9999,2080,2080,0.9884615385,0.9063687933
cnn,0.4,1.0,1664,1664,0.9939903846,0.9098819476
cnn,0.3,1.0,1248,1248,0.9951923077,0.9442762446
cnn,0.2012,1.0,837,837,1.0,0.6666666667
cnn,0.195,1.0,811,811,1.0,0.6666666667
cnn_small,1.0,0.3415,41600,4160,0.8025480769,0.6952140074
cnn_small,0.95,0.5935,39520,4159,0.823861336,0.7113066627
cnn_small,0.9,0.7145,37440,4153,0.8439369658,0.7264386263
cnn_small,0.8,0.8781,33280,4099,0.8818810096,0.7586795692
cnn_small,0.7,0.9544,29120,3975,0.914010989,0.7941365836
cnn_small,0.6,0.9836,24960,3759,0.9431490385,0.8403518333
cnn_small,0.5,0.9948,20800,3404,0.9666346154,0.8936546407
cnn_small,0.4,0.9984,16640,3038,0.9810096154,0.9359722384
cnn_small,0.3,0.9996,12480,2603,0.9885416667,0.9626067749
cnn_small,0.2,0.9999,8321,2048,0.9919480832,0.9758734914
cnn_small,0.1003,1.0,4172,1302,0.9918504314,0.9763686689
probe,1.0,0.3385,41600,4160,0.8180769231,0.7490245846
probe,0.95,0.5204,39520,4138,0.838638664,0.7689262375
probe,0.9,0.5959,37440,4071,0.8578792735,0.7871172868
probe,0.8,0.7348,33280,3815,0.8912560096,0.8144384262
probe,0.7,0.8509,29120,3469,0.9230082418,0.8490650088
probe,0.6,0.9239,24960,3106,0.9435496795,0.8775847437
probe,0.5,0.9628,20800,2711,0.9584134615,0.8995119885
probe,0.4,0.9832,16640,2296,0.9686899038,0.9109840601
probe,0.3,0.9933,12480,1845,0.9753205128,0.9178761699
probe,0.2,0.9979,8320,1296,0.9818509615,0.9119596857
probe,0.1,0.9996,4160,734,0.9882211538,0.9157594147
xgboost+probe,1.0,0.3382,41600,4160,0.8417548077,0.7729190505
xgboost+probe,0.95,0.4635,39520,4132,0.8624240891,0.7924919412
xgboost+probe,0.9,0.5076,37440,4063,0.8827457265,0.8135915448
xgboost+probe,0.8,0.5958,33280,3782,0.9228064904,0.8609896842
xgboost+probe,0.7,0.6865,29120,3391,0.9471497253,0.8839520013
xgboost+probe,0.6,0.7545,24960,3121,0.9582532051,0.8816463171
xgboost+probe,0.5,0.8024,20800,2823,0.9642788462,0.8771843208
xgboost+probe,0.4,0.8404,16640,2514,0.9677283654,0.8689873001
xgboost+probe,0.3,0.8679,12480,2290,0.9698717949,0.8651014112
xgboost+probe,0.2,0.8975,8320,1750,0.9700721154,0.8420130212
xgboost+probe,0.1,0.93,4160,1134,0.9802884615,0.7593221627
