family,model,floor,margin,low,high,p_value,agreeing,folds
species,xgboost,logbook,-0.6697898158,-0.7418569991,-0.5977226324,6.298910000000001e-24,50,50
species,xgboost+probe,logbook,-0.550826609,-0.6607090406,-0.4409441774,1.57654e-13,50,50
species,probe,logbook,-0.5467273153,-0.6575511651,-0.4359034654,2.68097e-13,50,50
species,logbook,metadata,0.3698654899,0.1477562018,0.591974778,0.0015782313,50,50
species,xgboost,metadata,-0.2999243259,-0.4828247271,-0.1170239247,0.0018319218,50,50
species,xgboost+probe,metadata,-0.1809611191,-0.407064817,0.0451425788,0.1141825565,40,50
species,probe,metadata,-0.1768618254,-0.4158035021,0.0620798514,0.1432996409,40,50
