model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_std,average_precision_macro_mean,average_precision_macro_std,n_items_mean,n_items_std,precision_HumpbackWhale_mean,precision_HumpbackWhale_std,recall_HumpbackWhale_mean,recall_HumpbackWhale_std,f1_HumpbackWhale_mean,f1_HumpbackWhale_std,support_HumpbackWhale_mean,support_HumpbackWhale_std,precision_SpermWhale_mean,precision_SpermWhale_std,recall_SpermWhale_mean,recall_SpermWhale_std,f1_SpermWhale_mean,f1_SpermWhale_std,support_SpermWhale_mean,support_SpermWhale_std,precision_KillerWhale_mean,precision_KillerWhale_std,recall_KillerWhale_mean,recall_KillerWhale_std,f1_KillerWhale_mean,f1_KillerWhale_std,support_KillerWhale_mean,support_KillerWhale_std
xgboost,0.3619363683,0.0701003501,0.32130273,0.0655085585,0.3486094981,0.1142759124,0.6322230284,0.0714813021,0.4467212614,0.0506878504,817.6,371.8544810837,0.140271147,0.1339447985,0.4093678161,0.3489390321,0.1879736325,0.1708715248,108.2,103.085856826,0.3653044171,0.2533479117,0.5948407542,0.2143726345,0.382681964,0.1605037728,189.2,141.8844025024,0.5251216961,0.2261896575,0.4077620704,0.3327795556,0.3932525936,0.2304102946,520.2,466.2597156618
logbook,0.9875319041,0.0128392797,0.9815144097,0.0184131157,0.9871821528,0.0132523122,1.0,0.0,1.0,0.0,817.6,371.8544810837,1.0,0.0,1.0,0.0,1.0,0.0,108.2,103.085856826,0.9968,0.0064649763,0.9241134752,0.089382147,0.9566982598,0.0481096585,189.2,141.8844025024,0.9779654883,0.0244459776,0.9982832618,0.0034683349,0.9878449694,0.0119455337,520.2,466.2597156618
probe,0.4827931018,0.075944939,0.4443652306,0.0965230741,0.5283086315,0.0811419168,0.6808671842,0.0584452058,0.5191367477,0.0948790949,817.6,371.8544810837,0.2146761208,0.2057165627,0.6117060414,0.2286914241,0.2478811501,0.1956541145,108.2,103.085856826,0.5862362488,0.3100927931,0.5889067476,0.2529387773,0.5401451624,0.283887103,189.2,141.8844025024,0.7662808578,0.130491173,0.4766939534,0.2110313954,0.5450693791,0.1595164243,520.2,466.2597156618
xgboost_centred,0.6292911212,0.1041911261,0.5457081857,0.1431376181,0.6554013348,0.1113580142,0.7915610508,0.1573222862,0.6716092068,0.1903114284,817.6,371.8544810837,0.3457224317,0.3756799486,0.3031412322,0.2275866907,0.2431171885,0.2104272326,108.2,103.085856826,0.6494405707,0.2720962453,0.8070522745,0.2374916936,0.690012179,0.2516075987,189.2,141.8844025024,0.7926614784,0.1964759864,0.7051961841,0.204376738,0.7039951896,0.1404964832,520.2,466.2597156618
xgboost+probe,0.4737146199,0.0710226606,0.4402659368,0.0958840801,0.5158544346,0.0796133928,0.704392602,0.047402797,0.5320105254,0.0935268989,817.6,371.8544810837,0.2118900492,0.1867122393,0.6544313858,0.219499075,0.2429111041,0.1610445614,108.2,103.085856826,0.5781740854,0.320844969,0.6001317381,0.2515639927,0.5373760186,0.2834457286,189.2,141.8844025024,0.7617651104,0.135142224,0.4812331733,0.2252592624,0.5405106877,0.1591848532,520.2,466.2597156618
metadata,0.6160432087,0.3272199851,0.6212270559,0.2179366596,0.5616778993,0.3521011562,0.9268440778,0.09492839,0.9023431002,0.1117738862,817.6,371.8544810837,0.980984556,0.0280428384,0.8333524904,0.329756399,0.850087656,0.2753344139,108.2,103.085856826,0.5403809882,0.3875365328,0.9669279582,0.0482838924,0.6122556517,0.3352617325,189.2,141.8844025024,0.7595942143,0.3864158535,0.4115768665,0.4848545671,0.4013378601,0.4510622452,520.2,466.2597156618
