model,mean,control,margin,low,high,p_value,agreeing,folds
logbook,0.9815144097,0.6212270559,0.3602873538,-0.0624672018,0.7830419094,0.0771404171,5,5
xgboost_centred,0.5457081857,0.6212270559,-0.0755188702,-0.6127621503,0.4617244099,0.7162234056,3,5
probe,0.4443652306,0.6212270559,-0.1768618254,-0.6485653776,0.2948417269,0.3566541559,4,5
xgboost+probe,0.4402659368,0.6212270559,-0.1809611191,-0.6273207452,0.265398507,0.3232952694,4,5
xgboost,0.32130273,0.6212270559,-0.2999243259,-0.6609947349,0.0611460831,0.0823698021,5,5
