family,model,floor,margin,low,high,p_value,agreeing,folds
species,probe,logbook,-0.6902358927,-0.9137966885,-0.4666750968,0.0022408879,4,4
species,xgboost+probe,logbook,-0.6801922892,-0.9243098213,-0.4360747572,0.0030238103,4,4
species,xgboost,logbook,-0.7154125292,-0.980178423,-0.4506466354,0.0033063941,4,4
species,logbook,metadata,0.4794207472,0.07986011,0.8789813845,0.0316049457,4,4
species,xgboost,metadata,-0.235991782,-0.4386106458,-0.0333729181,0.0341212044,4,4
species,xgboost+probe,metadata,-0.200771542,-0.4191958046,0.0176527206,0.0612355948,4,4
species,probe,metadata,-0.2108151454,-0.4451018595,0.0234715686,0.0643857524,4,4
