model,mean,control,margin,low,high,p_value,agreeing,folds
logbook,0.8753572929,0.3959365457,0.4794207472,0.07986011,0.8789813845,0.0316049457,4,4
xgboost+probe,0.1951650037,0.3959365457,-0.200771542,-0.4191958046,0.0176527206,0.0612355948,4,4
probe,0.1851214003,0.3959365457,-0.2108151454,-0.4451018595,0.0234715686,0.0643857524,4,4
xgboost,0.1599447637,0.3959365457,-0.235991782,-0.4386106458,-0.0333729181,0.0341212044,4,4
