repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.9895833333333334,0.9659090909090908,0.9892874053030303,0.9613445378151261,0.9544414180828251,192.0,0.9887005649717514,1.0,0.9943181818181818,175.0,1.0,0.8823529411764706,0.9375,17.0
0,1,0.984375,0.9551366928888543,0.9845636342394267,0.9623243933588761,0.972692247850198,192.0,0.9942196531791907,0.9885057471264368,0.9913544668587896,174.0,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
0,2,0.8737864077669902,0.46632124352331605,0.8420946727702601,0.4739247311827957,0.5048659590080966,206.0,0.9,0.967741935483871,0.9326424870466321,186.0,0.0,0.0,0.0,20.0
0,3,0.8820960698689956,0.8084394460451715,0.8680909371700994,0.9543043655650754,0.9465396915837558,229.0,0.864321608040201,1.0,0.9272237196765498,172.0,1.0,0.5263157894736842,0.6896551724137931,57.0
0,4,0.8865979381443299,0.46994535519125685,0.8333051659061461,0.17124735729386895,0.4248722049459976,194.0,0.8865979381443299,1.0,0.9398907103825137,172.0,0.0,0.0,0.0,22.0
1,0,0.9844559585492227,0.9528693528693528,0.983856212871757,0.9779189352692075,0.9550582864664539,193.0,0.9830508474576272,1.0,0.9914529914529915,174.0,1.0,0.8421052631578947,0.9142857142857143,19.0
1,1,0.9742268041237113,0.928734112115201,0.9739333028849467,0.893103448275862,0.9207212892040855,194.0,0.9828571428571429,0.9885057471264368,0.9856733524355301,174.0,0.8947368421052632,0.85,0.8717948717948718,20.0
1,2,0.8522167487684729,0.4601063829787234,0.8476836809558747,0.4341577540106952,0.5000207009164739,203.0,0.9153439153439153,0.9251336898395722,0.9202127659574468,187.0,0.0,0.0,0.0,16.0
1,3,0.8777292576419214,0.7995748937234308,0.8624263052662727,0.9681762545899633,0.9642704867778267,229.0,0.86,1.0,0.9247311827956989,172.0,1.0,0.5087719298245614,0.6744186046511628,57.0
1,4,0.8865979381443299,0.46994535519125685,0.8333051659061461,0.19265327695560253,0.43287746476193606,194.0,0.8865979381443299,1.0,0.9398907103825137,172.0,0.0,0.0,0.0,22.0
