fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0.208955223880597,0.19441923774954628,0.2687142779749167,0.349346818373367,0.6115659716561876,134.0,0.5897435897435898,0.20353982300884957,0.3026315789473684,113.0,0.05263157894736842,0.23809523809523808,0.08620689655172414,21.0
1,0.9111111111111111,0.8682498373454782,0.9177907901395214,0.9598214285714286,0.8525297619047619,135.0,1.0,0.8928571428571429,0.9433962264150944,112.0,0.6571428571428571,1.0,0.7931034482758621,23.0
2,0.7870967741935484,0.5362226856469309,0.7540870257005725,0.5275590551181103,0.5211277401830475,155.0,0.8309859154929577,0.9291338582677166,0.8773234200743495,127.0,0.3076923076923077,0.14285714285714285,0.1951219512195122,28.0
3,0.2857142857142857,0.285582041194168,0.291731411379641,0.49537037037037035,0.5489255132506332,147.0,0.7586206896551724,0.18333333333333332,0.2953020134228188,120.0,0.1694915254237288,0.7407407407407407,0.27586206896551724,27.0
4,0.22857142857142856,0.22841396203306796,0.22054063511503805,0.299375,0.5014040290016231,140.0,0.8333333333333334,0.125,0.21739130434782608,120.0,0.13934426229508196,0.85,0.23943661971830985,20.0
