metric,mean,std,min,max
accuracy,0.48428976469419416,0.3370837226883041,0.208955223880597,0.9111111111111111
macro_f1,0.42257755279383824,0.282870327331313,0.19441923774954628,0.8682498373454782
weighted_f1,0.4905728280619379,0.3215709213927414,0.22054063511503805,0.9177907901395214
roc_auc_ovr_macro,0.5262945344866552,0.26062733941533156,0.299375,0.9598214285714286
average_precision_macro,0.6071106031992507,0.14335519786634734,0.5014040290016231,0.8525297619047619
n_items,142.2,8.814760348415605,134.0,155.0
precision_absent,0.8025367056450106,0.14828947119647953,0.5897435897435898,1.0
recall_absent,0.4667728314934084,0.40674432807667676,0.125,0.9291338582677166
f1_absent,0.5272089086414915,0.35213448694505495,0.21739130434782608,0.9433962264150944
support_absent,118.4,6.107372593840988,112.0,127.0
precision_present,0.2652605063002688,0.23749204914114322,0.05263157894736842,0.6571428571428571
recall_present,0.5943386243386244,0.38147816082917296,0.14285714285714285,1.0
f1_present,0.3179461969461851,0.2749991544174305,0.08620689655172414,0.7931034482758621
support_present,23.8,3.5637059362410923,20.0,28.0
