family,model,floor,margin,low,high,p_value,agreeing,folds
species,xgboost+probe,logbook,-0.5210206175,-0.6959415132,-0.3460997218,0.0024889511,4,4
species,xgboost,logbook,-0.5705044234,-0.7797364253,-0.3612724215,0.0032204116,4,4
species,probe,logbook,-0.5418640756,-0.7561910212,-0.32753713,0.0040096634,4,4
species,logbook,metadata,0.3528019352,-0.0352399848,0.7408438552,0.0628370939,4,4
species,xgboost,metadata,-0.2177024882,-0.6568305905,0.2214256141,0.2127319983,4,4
species,probe,metadata,-0.1890621404,-0.5769551913,0.1988309104,0.2186587137,4,4
species,xgboost+probe,metadata,-0.1682186823,-0.5631956084,0.2267582438,0.2683111337,4,4
