model,mean,control,margin,low,high,p_value,agreeing,folds
logbook,0.9256997275,0.5728977924,0.3528019352,-0.0352399848,0.7408438552,0.0628370939,4,4
xgboost+probe,0.4046791101,0.5728977924,-0.1682186823,-0.5631956084,0.2267582438,0.2683111337,4,4
probe,0.3838356519,0.5728977924,-0.1890621404,-0.5769551913,0.1988309104,0.2186587137,4,4
xgboost,0.3551953042,0.5728977924,-0.2177024882,-0.6568305905,0.2214256141,0.2127319983,4,4
