epoch,train_loss,val_macro_f1,repeat,fold
0,1.7251831807862879,0.09067344936177622,0,0
1,0.9740611354137315,0.10461153212684687,0,0
2,0.6626599594083042,0.1104472709996795,0,0
3,0.5134402025067373,0.11837483085477597,0,0
4,0.4345798756797689,0.1212283086090893,0,0
5,0.38034651110814205,0.12096853351102338,0,0
6,0.34291713346769775,0.1292628177956378,0,0
7,0.3127483727877007,0.13129507253202002,0,0
8,0.287816656048105,0.14322128034849257,0,0
9,0.267890863635895,0.1403561605140153,0,0
10,0.25084009103334337,0.1415200484407647,0,0
11,0.23673911402587922,0.14522808791133837,0,0
12,0.22455427890272986,0.1486372905018001,0,0
13,0.21243765015022603,0.14915788648528452,0,0
14,0.2031569973991084,0.15429717492010675,0,0
15,0.19553395476295596,0.15144270582084873,0,0
16,0.18742852290890655,0.15452769047232698,0,0
17,0.17953323261632542,0.14961825239916549,0,0
18,0.17283632501162044,0.14935231171074764,0,0
19,0.16788870572531395,0.15497045701238202,0,0
20,0.16219553945061282,0.15557904112827328,0,0
21,0.15706311543037202,0.15859456112373244,0,0
22,0.1520767298095065,0.15406138318725307,0,0
23,0.1479803765714518,0.15432048643886676,0,0
24,0.14417770893348292,0.15463069428499446,0,0
25,0.14079803135209645,0.157934536740056,0,0
26,0.13760159430488939,0.15551332459798442,0,0
27,0.13405807665685696,0.1591877060666246,0,0
28,0.13099844712398628,0.1529979611968774,0,0
29,0.128633842547688,0.1539256014068286,0,0
30,0.12581138358236338,0.15437040377656672,0,0
31,0.12418602129219565,0.1586479378963036,0,0
32,0.12161121846712768,0.1554187404662202,0,0
33,0.11986153789123738,0.1552034393626318,0,0
34,0.11801465275512164,0.15824796923553006,0,0
35,0.116683577541473,0.15503577295377619,0,0
36,0.11482408656161854,0.15501288352287398,0,0
37,0.11335899561771708,0.15738113623633943,0,0
0,1.739952411917144,0.10111525157051006,0,1
1,1.0127467563880959,0.14936135945895715,0,1
2,0.7169727420730634,0.15297535070846957,0,1
3,0.5626788329465875,0.15611575559736202,0,1
4,0.4749692320352708,0.15837256537296948,0,1
5,0.41790967655758254,0.16848303114033783,0,1
6,0.37517788198870894,0.16523535453036506,0,1
7,0.3444400985319878,0.1650230778186743,0,1
8,0.31721379994706905,0.1657680770731695,0,1
9,0.29485117762302504,0.16766751619399675,0,1
10,0.27669795781623474,0.16250121243138144,0,1
11,0.26006502911060214,0.16600915466622793,0,1
12,0.24706199759318367,0.16014901592739578,0,1
13,0.23494527833547657,0.16738343914192225,0,1
14,0.22457635535417658,0.16452968248401512,0,1
15,0.2146213488740381,0.16654804775385268,0,1
0,1.810508924989978,0.15532928293212217,0,2
1,1.0902403328195507,0.2336432206338543,0,2
2,0.7737318823977215,0.25343441092883234,0,2
3,0.6053938436095495,0.25400573453245506,0,2
4,0.5138599338070039,0.26066576224572074,0,2
5,0.4497058486113109,0.25795514447297635,0,2
6,0.40453414720967473,0.2596148766113671,0,2
7,0.36919865293075116,0.2583533767928096,0,2
8,0.34105937581283663,0.24816221739534045,0,2
9,0.31839622599603995,0.25266426531637376,0,2
10,0.2984675416788841,0.25569316044994833,0,2
11,0.2814869475589785,0.24774159596976536,0,2
12,0.2679476779455467,0.241694028514178,0,2
13,0.254883802722609,0.24640050644816272,0,2
14,0.2438960794854783,0.2511075380156073,0,2
0,1.8406423720105345,0.10040159292401513,0,3
1,1.1430778734785072,0.16551738487820547,0,3
2,0.8330535932554451,0.16707601862669483,0,3
3,0.668236323663746,0.17720873874515297,0,3
4,0.5767712549322136,0.1775663277833836,0,3
5,0.514168855410961,0.18004316936163745,0,3
6,0.46705345021464795,0.17775765067801375,0,3
7,0.4297818730171435,0.17777618117309685,0,3
8,0.4002476626870151,0.18118601113925603,0,3
9,0.3741267861017693,0.18401061170771688,0,3
10,0.35376126920600887,0.18011132302649852,0,3
11,0.33799584665768156,0.176468054950438,0,3
12,0.3187976155442373,0.17857523780510268,0,3
13,0.30527598958809565,0.17801586039055764,0,3
14,0.2921261133942455,0.17759402967797608,0,3
15,0.2816362522010968,0.17668841239697966,0,3
16,0.2694517918586166,0.17654712815832052,0,3
17,0.26092635955495397,0.18107353614499316,0,3
18,0.2511956406782613,0.18067819928974427,0,3
19,0.24503720032388995,0.1796337309298578,0,3
0,1.7256323236560114,0.09065938436743738,1,0
1,0.9756125055425285,0.10412748436795584,1,0
2,0.6631000779391546,0.10998137291031873,1,0
3,0.5145609763018923,0.11775352280897482,1,0
4,0.4348042461149112,0.12148735550531303,1,0
5,0.380676018686302,0.12069140145091178,1,0
6,0.34304598057675334,0.12851204522068957,1,0
7,0.31322358493322316,0.13211281256326268,1,0
8,0.28785918272766764,0.14387375964753849,1,0
9,0.2682803959562798,0.14078780794903065,1,0
10,0.25085190311219835,0.14157602109426193,1,0
11,0.23704455580362915,0.14466659109598948,1,0
12,0.22474731873515622,0.14978859159818206,1,0
13,0.21252863273903838,0.15001105046344507,1,0
14,0.2037350546805921,0.15553291293276802,1,0
15,0.19541198084507197,0.15064381661664314,1,0
16,0.18760363736647376,0.15435982286772207,1,0
17,0.1798398279500874,0.15011735519129424,1,0
18,0.17280610796644988,0.15053414542842697,1,0
19,0.16802849102038897,0.15672635429436418,1,0
20,0.1623002803590019,0.15621259457580305,1,0
21,0.1572108210682077,0.1583988492188386,1,0
22,0.1521091376398168,0.15367996023498645,1,0
23,0.14797659219475917,0.15533426399754413,1,0
24,0.14407149183768786,0.15599859486100165,1,0
25,0.14080792415090818,0.1582204768446197,1,0
26,0.1375120392927391,0.15532013204737347,1,0
27,0.13410715965518452,0.1588414409506652,1,0
28,0.1309425198633534,0.15233872357555242,1,0
29,0.1287549704126941,0.1530902876725203,1,0
30,0.12584567745480046,0.15373471789063065,1,0
31,0.12414328175137965,0.15861953399963033,1,0
32,0.12161788278291727,0.15585255034540688,1,0
33,0.11998376540254456,0.15618487807368783,1,0
34,0.11802352428576032,0.15835822238623945,1,0
35,0.11671443856545098,0.156617987954695,1,0
36,0.11489230209773013,0.1560871860866759,1,0
37,0.1134161130845803,0.1574481830582364,1,0
0,1.739952411917144,0.10111525157051006,1,1
1,1.0127467563880959,0.14936135945895715,1,1
2,0.7169727420730634,0.15297535070846957,1,1
3,0.5626788329465875,0.15611575559736202,1,1
4,0.4749692320352708,0.15837256537296948,1,1
5,0.41790967655758254,0.16848303114033783,1,1
6,0.37517788198870894,0.16523535453036506,1,1
7,0.3444400985319878,0.1650230778186743,1,1
8,0.31721379994706905,0.1657680770731695,1,1
9,0.29485117762302504,0.16766751619399675,1,1
10,0.27669795781623474,0.16250121243138144,1,1
11,0.26006502911060214,0.16600915466622793,1,1
12,0.24706199759318367,0.16014901592739578,1,1
