family,model,floor,margin,low,high,p_value,agreeing,folds
species,probe,metadata,-0.3039227175,-0.5125341544,-0.0953112807,0.0155402286,5,5
species,xgboost,metadata,-0.3425708519,-0.701770346,0.0166286422,0.0571060958,5,5
species,probe,logbook,-0.3329498578,-0.6933046893,0.0274049737,0.0622878847,5,5
species,xgboost+probe,metadata,-0.2631308292,-0.5557168526,0.0294551942,0.0669856406,5,5
species,xgboost,logbook,-0.3715979922,-0.8693776813,0.1261816969,0.1069091744,4,5
species,xgboost_centred,metadata,-0.2409283736,-0.5760570424,0.0942002953,0.1166451677,4,5
species,xgboost+probe,logbook,-0.2921579695,-0.7283786588,0.1440627198,0.1364764662,4,5
species,xgboost_centred,logbook,-0.2699555139,-0.7178276884,0.1779166606,0.1695420492,4,5
species,logbook,metadata,0.0290271403,-0.1844001377,0.2424544183,0.7249022229,3,5
