model,mean,control,margin,low,high,p_value,agreeing,folds
logbook,0.9271918263,0.898164686,0.0290271403,-0.1844001377,0.2424544183,0.7249022229,3,5
xgboost_centred,0.6572363124,0.898164686,-0.2409283736,-0.5760570424,0.0942002953,0.1166451677,4,5
xgboost+probe,0.6350338568,0.898164686,-0.2631308292,-0.5557168525,0.0294551942,0.0669856407,5,5
probe,0.5942419685,0.898164686,-0.3039227175,-0.5125341544,-0.0953112807,0.0155402286,5,5
xgboost,0.5555938341,0.898164686,-0.3425708519,-0.701770346,0.0166286422,0.0571060958,5,5
