model,mean,control,margin,low,high,p_value,agreeing,folds
logbook,0.920109635961683,0.5774096491955467,0.34269998676613633,0.2455108296696109,0.43988914386266176,4.882103387834256e-09,50,50
xgboost,0.4239893764056707,0.5774096491955467,-0.15342027278987608,-0.2396129155079753,-0.06722763007177684,0.0007941783052575899,48,50
