family,model,floor,margin,low,high,p_value,agreeing,folds
species,xgboost,logbook,-0.4946129394,-0.5774705174,-0.4117553614,3.42224e-16,50,50
species,probe,logbook,-0.4826672475,-0.5690856558,-0.3962488392,3.79735e-15,50,50
species,logbook,metadata,0.3452015529,0.2475007409,0.4429023648,4.63876e-09,50,50
species,xgboost,metadata,-0.1494113865,-0.2376777443,-0.0611450288,0.0013415002,48,50
species,probe,metadata,-0.1374656946,-0.27302523,-0.0019061593,0.0469843364,43,50
