repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,0.8286252354048964,0.5371239274465082,0.8870322507009221,0.9818752203072755,0.7809177937437606,2124.0,0.06451612903225806,1.0,0.12121212121212122,20.0,0.4393939393939394,0.8787878787878788,0.5858585858585859,66.0,1.0,0.8253189401373896,0.9043010752688172,2038.0
0,1,0.913151364764268,0.7807982661811906,0.9255637749702487,0.9880324662498019,0.9769693360487967,806.0,0.34285714285714286,1.0,0.5106382978723404,24.0,0.9808917197452229,0.9153046062407132,0.9469638739431206,673.0,0.8888888888888888,0.8807339449541285,0.8847926267281107,109.0
0,2,0.668,0.6396442700059184,0.6953973460424259,0.9058545331768411,0.7838939692775629,500.0,0.9744897959183674,0.5858895705521472,0.7318007662835249,326.0,0.3067484662576687,0.7246376811594203,0.43103448275862066,69.0,0.6595744680851063,0.8857142857142857,0.7560975609756098,105.0
0,3,0.49825783972125437,0.5175192650403226,0.4739148745961356,0.9273267936311426,0.8923717406682327,287.0,0.25517241379310346,1.0,0.4065934065934066,37.0,0.6914893617021277,0.9027777777777778,0.7831325301204819,72.0,0.8541666666666666,0.2303370786516854,0.36283185840707965,178.0
0,4,0.8247978436657682,0.811095833468101,0.831107766756802,0.9591071508358393,0.9237766497278703,371.0,0.8166666666666667,0.7313432835820896,0.7716535433070866,134.0,0.6055045871559633,1.0,0.7542857142857143,66.0,1.0,0.8304093567251462,0.9073482428115016,171.0
1,0,0.8286252354048964,0.5371239274465082,0.8870322507009221,0.9818752203072755,0.7809177937437606,2124.0,0.06451612903225806,1.0,0.12121212121212122,20.0,0.4393939393939394,0.8787878787878788,0.5858585858585859,66.0,1.0,0.8253189401373896,0.9043010752688172,2038.0
1,1,0.913151364764268,0.7807982661811906,0.9255637749702487,0.9880324662498019,0.9769693360487967,806.0,0.34285714285714286,1.0,0.5106382978723404,24.0,0.9808917197452229,0.9153046062407132,0.9469638739431206,673.0,0.8888888888888888,0.8807339449541285,0.8847926267281107,109.0
1,2,0.668,0.6396442700059184,0.6953973460424259,0.9058545331768411,0.7838939692775629,500.0,0.9744897959183674,0.5858895705521472,0.7318007662835249,326.0,0.3067484662576687,0.7246376811594203,0.43103448275862066,69.0,0.6595744680851063,0.8857142857142857,0.7560975609756098,105.0
1,3,0.49825783972125437,0.5175192650403226,0.4739148745961356,0.9273267936311426,0.8923717406682327,287.0,0.25517241379310346,1.0,0.4065934065934066,37.0,0.6914893617021277,0.9027777777777778,0.7831325301204819,72.0,0.8541666666666666,0.2303370786516854,0.36283185840707965,178.0
1,4,0.8247978436657682,0.811095833468101,0.831107766756802,0.9591071508358393,0.9237766497278703,371.0,0.8166666666666667,0.7313432835820896,0.7716535433070866,134.0,0.6055045871559633,1.0,0.7542857142857143,66.0,1.0,0.8304093567251462,0.9073482428115016,171.0
2,0,0.8286252354048964,0.5371239274465082,0.8870322507009221,0.9818752203072755,0.7809177937437606,2124.0,0.06451612903225806,1.0,0.12121212121212122,20.0,0.4393939393939394,0.8787878787878788,0.5858585858585859,66.0,1.0,0.8253189401373896,0.9043010752688172,2038.0
2,1,0.913151364764268,0.7807982661811906,0.9255637749702487,0.9880324662498019,0.9769693360487967,806.0,0.34285714285714286,1.0,0.5106382978723404,24.0,0.9808917197452229,0.9153046062407132,0.9469638739431206,673.0,0.8888888888888888,0.8807339449541285,0.8847926267281107,109.0
2,2,0.668,0.6396442700059184,0.6953973460424259,0.9058545331768411,0.7838939692775629,500.0,0.9744897959183674,0.5858895705521472,0.7318007662835249,326.0,0.3067484662576687,0.7246376811594203,0.43103448275862066,69.0,0.6595744680851063,0.8857142857142857,0.7560975609756098,105.0
2,3,0.49825783972125437,0.5175192650403226,0.4739148745961356,0.9273267936311426,0.8923717406682327,287.0,0.25517241379310346,1.0,0.4065934065934066,37.0,0.6914893617021277,0.9027777777777778,0.7831325301204819,72.0,0.8541666666666666,0.2303370786516854,0.36283185840707965,178.0
2,4,0.8247978436657682,0.811095833468101,0.831107766756802,0.9591071508358393,0.9237766497278703,371.0,0.8166666666666667,0.7313432835820896,0.7716535433070866,134.0,0.6055045871559633,1.0,0.7542857142857143,66.0,1.0,0.8304093567251462,0.9073482428115016,171.0
3,0,0.8286252354048964,0.5371239274465082,0.8870322507009221,0.9818752203072755,0.7809177937437606,2124.0,0.06451612903225806,1.0,0.12121212121212122,20.0,0.4393939393939394,0.8787878787878788,0.5858585858585859,66.0,1.0,0.8253189401373896,0.9043010752688172,2038.0
3,1,0.913151364764268,0.7807982661811906,0.9255637749702487,0.9880324662498019,0.9769693360487967,806.0,0.34285714285714286,1.0,0.5106382978723404,24.0,0.9808917197452229,0.9153046062407132,0.9469638739431206,673.0,0.8888888888888888,0.8807339449541285,0.8847926267281107,109.0
3,2,0.668,0.6396442700059184,0.6953973460424259,0.9058545331768411,0.7838939692775629,500.0,0.9744897959183674,0.5858895705521472,0.7318007662835249,326.0,0.3067484662576687,0.7246376811594203,0.43103448275862066,69.0,0.6595744680851063,0.8857142857142857,0.7560975609756098,105.0
3,3,0.49825783972125437,0.5175192650403226,0.4739148745961356,0.9273267936311426,0.8923717406682327,287.0,0.25517241379310346,1.0,0.4065934065934066,37.0,0.6914893617021277,0.9027777777777778,0.7831325301204819,72.0,0.8541666666666666,0.2303370786516854,0.36283185840707965,178.0
3,4,0.8247978436657682,0.811095833468101,0.831107766756802,0.9591071508358393,0.9237766497278703,371.0,0.8166666666666667,0.7313432835820896,0.7716535433070866,134.0,0.6055045871559633,1.0,0.7542857142857143,66.0,1.0,0.8304093567251462,0.9073482428115016,171.0
4,0,0.8286252354048964,0.5371239274465082,0.8870322507009221,0.9818752203072755,0.7809177937437606,2124.0,0.06451612903225806,1.0,0.12121212121212122,20.0,0.4393939393939394,0.8787878787878788,0.5858585858585859,66.0,1.0,0.8253189401373896,0.9043010752688172,2038.0
