epoch,train_loss,val_macro_f1,repeat,fold
0,0.18192094083588714,0.6099567398338785,0,0
1,0.12465113151400906,0.557720328249537,0,0
2,0.11795105507094446,0.5759987187771084,0,0
3,0.07803943645475496,0.6187601864551957,0,0
4,0.047830493172570286,0.5232467243187905,0,0
5,0.047132821779894495,0.6165074454561724,0,0
6,0.053855670102086285,0.5837029877024184,0,0
7,0.04899803223122954,0.5760747753543828,0,0
8,0.03241289965111225,0.6455917605528013,0,0
9,0.015130008083639818,0.5537728149404657,0,0
10,0.01930579537905124,0.5898238426143442,0,0
11,0.03575775264894429,0.7026986895804254,0,0
12,0.02727438665260864,0.5758643289351978,0,0
13,0.02456649957018227,0.5734507603497033,0,0
14,0.01636416626014636,0.7126952304178712,0,0
15,0.011495135538095636,0.6968868148987787,0,0
16,0.014053125548834686,0.6211155374466473,0,0
17,0.00815533629111886,0.6193443781876399,0,0
18,0.006054667460673854,0.6761447462820752,0,0
19,0.007856992635130894,0.5979027405700406,0,0
20,0.006767013444494958,0.576380445501162,0,0
21,0.0026061944185302817,0.5951665909179479,0,0
0,0.22035354918050587,0.58998165013526,0,1
1,0.12622285773078337,0.5738340340898095,0,1
2,0.10766721679949699,0.5519769100351434,0,1
3,0.06246062378156483,0.5375375524868828,0,1
4,0.06877891142035339,0.5553362063630495,0,1
5,0.057105628835862954,0.5862518902622277,0,1
6,0.05453691990397699,0.587384586659198,0,1
7,0.027871746746222198,0.6854306145355774,0,1
8,0.036199923231846814,0.5578375662222211,0,1
9,0.029386966372127246,0.5327691919089045,0,1
10,0.02498847411100889,0.5190243091524801,0,1
11,0.02158398726745366,0.5624324675632656,0,1
12,0.023130670804012737,0.7257838273955398,0,1
13,0.013531728117282357,0.6315608359952315,0,1
14,0.01492977463959414,0.5723099674949351,0,1
15,0.011592398838280888,0.6819466451193557,0,1
16,0.009089279381764041,0.7415225944237243,0,1
17,0.009001888886394152,0.6478224444704891,0,1
18,0.0069044898378990026,0.5937829367188151,0,1
19,0.006846914429023351,0.6219896344670838,0,1
20,0.00745722918743351,0.6785154594982852,0,1
21,0.006913113229384043,0.5997708823061842,0,1
22,0.00396964269081489,0.5861715994736626,0,1
23,0.004332859241586515,0.6174471144313327,0,1
0,0.2508769121816231,0.6090583430362544,0,2
1,0.11008329204862426,0.5414898965341576,0,2
2,0.11078828571660035,0.7521296705048499,0,2
3,0.07472373860115508,0.6426732856890093,0,2
4,0.04392908202889684,0.607438629901171,0,2
5,0.03691798739848202,0.7446923039806025,0,2
6,0.03789874015515034,0.6798585077923519,0,2
7,0.031012479113228814,0.6041670921630123,0,2
8,0.032363594424412376,0.6148937428372738,0,2
9,0.018400232932405728,0.7167424894275328,0,2
0,0.2607363928522695,0.5826857144562122,0,3
1,0.14208222117247718,0.7290915224474631,0,3
2,0.10582775135171037,0.6954721798217457,0,3
3,0.07742683349629415,0.7510769377991516,0,3
4,0.07331187751827012,0.733111882602858,0,3
5,0.039707282638298,0.8390252725282683,0,3
6,0.03571735277242819,0.8508063451663647,0,3
7,0.03640161250721093,0.7578497645465472,0,3
8,0.028589831535089694,0.7488765368422529,0,3
9,0.01835658350567102,0.7462623743353493,0,3
10,0.028747349601666097,0.7896384953704508,0,3
11,0.024224353452499254,0.7293092410991419,0,3
12,0.013935422434568558,0.7240330607051795,0,3
13,0.017244185110622708,0.7095647296046858,0,3
0,0.26528858878044226,0.5685108111540716,0,4
1,0.13532721929259192,0.5273810160783375,0,4
2,0.11657471579740132,0.4537910708834065,0,4
3,0.10599287957095245,0.44222361340423505,0,4
4,0.049388585340551266,0.6395656626893509,0,4
5,0.05904773747465036,0.5980054235375437,0,4
6,0.04285183715425155,0.6274402169229035,0,4
7,0.03702231215128617,0.6279645725635511,0,4
8,0.030756714182983556,0.6038152988547933,0,4
9,0.025078873129510806,0.48255800710316943,0,4
10,0.021985373141244494,0.7139422487096203,0,4
11,0.01208833652937882,0.6950256987923402,0,4
12,0.019975263901192215,0.6543364978604996,0,4
13,0.01587481221670157,0.5176897607744405,0,4
14,0.017037344633173915,0.7198029132673054,0,4
15,0.009662688353889197,0.7180087084242812,0,4
16,0.006358506605605817,0.6779445335108534,0,4
17,0.011585630512739331,0.6555462082540241,0,4
18,0.015031976420282648,0.7021900026888114,0,4
19,0.0061199641517282926,0.7003951456966885,0,4
20,0.005527294488890137,0.7399542561332725,0,4
21,0.003100333101611058,0.7237904150414374,0,4
22,0.0015544833318289406,0.7192265422017853,0,4
23,0.002300104501203358,0.7017876284665251,0,4
24,0.0013851423088592104,0.7028499990255015,0,4
25,0.0021430876953955737,0.6972699117055776,0,4
26,0.001232006863117063,0.6847582665139256,0,4
27,0.002574490467017011,0.667988418025096,0,4
