epoch,train_loss,val_macro_f1,repeat,fold
0,0.8720116473191621,0.4228171794459719,0,0
1,0.4425192718079548,0.28262680522718836,0,0
2,0.2914755948331972,0.27509063547438267,0,0
3,0.2204544483036395,0.28189123870496263,0,0
4,0.18320240114895714,0.27087912087912086,0,0
5,0.15767898977987024,0.26272590006927493,0,0
6,0.13919437918441974,0.27341266326118835,0,0
7,0.12606589614555536,0.2694588302213756,0,0
8,0.11492322888595378,0.26778080599864423,0,0
9,0.10564469111873614,0.27853726699127024,0,0
10,0.09867899450442649,0.26809279623979343,0,0
0,0.8918945048263366,0.2356298642159298,0,1
1,0.4504691569562902,0.2517775114290551,0,1
2,0.29551863011616863,0.25849257031710865,0,1
3,0.2280509983473283,0.2724619348495828,0,1
4,0.1894865947345574,0.2711405478973667,0,1
5,0.16369214187809492,0.253846180973486,0,1
6,0.1438900731676615,0.2565808169074501,0,1
7,0.12983401903945707,0.2528985694991686,0,1
8,0.11814718917941877,0.2505277634129659,0,1
9,0.10924833107228372,0.26400477560136393,0,1
10,0.10196197904155004,0.2646871128405963,0,1
11,0.09496806539369351,0.2562132829954807,0,1
12,0.08977147809324418,0.2541202136640866,0,1
13,0.08540476794203547,0.26111216731025555,0,1
0,0.8400544980865213,0.1976896814438646,0,2
1,0.462217066863283,0.21809452843631325,0,2
2,0.30731932248049115,0.2584912664631115,0,2
3,0.23415971691928691,0.2781658285141216,0,2
4,0.193908693111358,0.28018574691982173,0,2
5,0.16839830288246496,0.29601281175076194,0,2
6,0.1525935057680405,0.312963138991555,0,2
7,0.13706053029838486,0.2984935912231301,0,2
8,0.12624118755112834,0.3118567045349643,0,2
9,0.11713787249813032,0.3064829067486928,0,2
10,0.10916321791374861,0.3046329411260097,0,2
11,0.10311114150493299,0.3122064034791797,0,2
12,0.09771539589658898,0.3026233466878876,0,2
13,0.09233890372833506,0.3211925347025585,0,2
14,0.0881084499333925,0.32464536869600163,0,2
15,0.0842321868337209,0.3242713430086597,0,2
16,0.08106672100315046,0.3177214813022137,0,2
17,0.0780476062970968,0.33340797578112946,0,2
18,0.07570387300715517,0.32443666758602396,0,2
19,0.07275894395451048,0.32387411076908745,0,2
20,0.07031226506577203,0.3197634889029188,0,2
21,0.06946647734339557,0.32408894096765145,0,2
22,0.06595599519746814,0.30945331554029276,0,2
23,0.06408645305319212,0.3229159236909477,0,2
24,0.062388082020985544,0.3213670824356421,0,2
25,0.06081004162777716,0.32321299237870066,0,2
26,0.05955703166401505,0.33228155902740536,0,2
27,0.05830478855404095,0.32526224243395957,0,2
0,0.8331585429209525,0.14543141723996125,0,3
1,0.3985237669090769,0.20001102733472456,0,3
2,0.26109993721670605,0.23738602264325992,0,3
3,0.2014816484754922,0.26162386900715956,0,3
