family,model,floor,margin,low,high,p_value,agreeing,folds
species,probe,logbook,-0.2759262229,-0.3809347033,-0.1709177425,2.93685e-06,50,50
species,xgboost+probe,logbook,-0.2385737168,-0.3532493507,-0.1238980828,0.0001195229,50,50
species,xgboost,logbook,-0.2496876896,-0.3765469012,-0.1228284781,0.0002460082,50,50
species,probe,metadata,-0.1764176119,-0.2836047698,-0.0692304541,0.0017681412,47,50
species,xgboost,metadata,-0.1501790786,-0.2657679897,-0.0345901676,0.0119478705,46,50
species,xgboost+probe,metadata,-0.1390651058,-0.2541161811,-0.0240140304,0.0188531853,45,50
species,cnn_small,logbook,-0.2368704804,-0.5748040283,0.1010630675,0.1235066725,5,5
species,logbook,metadata,0.099508611,-0.0352960921,0.2343133141,0.1443708164,39,50
species,cnn_small,metadata,-0.170537267,-0.4510573945,0.1099828605,0.1667046987,5,5
