model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_std,average_precision_macro_mean,average_precision_macro_std,n_items_mean,n_items_std,precision_HumpbackWhale_mean,precision_HumpbackWhale_std,recall_HumpbackWhale_mean,recall_HumpbackWhale_std,f1_HumpbackWhale_mean,f1_HumpbackWhale_std,support_HumpbackWhale_mean,support_HumpbackWhale_std,precision_SpermWhale_mean,precision_SpermWhale_std,recall_SpermWhale_mean,recall_SpermWhale_std,f1_SpermWhale_mean,f1_SpermWhale_std,support_SpermWhale_mean,support_SpermWhale_std,precision_KillerWhale_mean,precision_KillerWhale_std,recall_KillerWhale_mean,recall_KillerWhale_std,f1_KillerWhale_mean,f1_KillerWhale_std,support_KillerWhale_mean,support_KillerWhale_std
xgboost,0.8397516892019989,0.111603092395291,0.7747278143858672,0.1155273411343231,0.8377496648124781,0.1014846485902176,0.9477607732606176,0.0360667187603717,0.8709642373271727,0.0696290490021762,843.4,73.61249893869925,0.7732759167829852,0.2733821030636963,0.5969787998633291,0.2858559272397555,0.5985187742119649,0.2001620176407551,120.6,74.59088416153813,0.7816169855725846,0.1389583532233486,0.916153733599961,0.0542306043017567,0.8375981973782796,0.0828623058213325,202.6,0.5477225575051661,0.9265499300739016,0.0427646837090508,0.8700168401792879,0.1805827719238807,0.8880664715673573,0.1125864287109933,520.2,1.095445115010332
cnn_small,0.8091202927269571,0.1603271216628141,0.7538366280710561,0.1936840063001366,0.7954320359049609,0.1822331047941831,0.890510178645064,0.1300015042507729,0.8028287610586278,0.1628891022635533,843.4,73.61249893869925,0.5375608582117444,0.3833804566036242,0.6757034660964092,0.384360811700799,0.5717340555367137,0.3635342872968943,120.6,74.59088416153813,0.7935346379963011,0.1858184792080809,0.9191337852997122,0.0617800401036487,0.8378827908697699,0.104413655858931,202.6,0.5477225575051661,0.9089247808591672,0.1057615082295266,0.8299627505796531,0.2072368093225111,0.8518930378066848,0.1436008695046453,520.2,1.095445115010332
metadata,0.917343565865607,0.1488656400028665,0.9268380875056283,0.1134865624583436,0.9190266899430012,0.145433044405269,0.9911432627186292,0.0102341439021735,0.9817325405066242,0.023107022320563,843.4,73.61249893869925,0.9686771456391712,0.0509875743414835,0.9629974160206718,0.0423340676073634,0.965300048181456,0.040130918558161,120.6,74.59088416153813,0.8554373583153524,0.2465915903912466,0.987192118226601,0.0286392942931007,0.897064868732747,0.1694017979415217,202.6,0.5477225575051661,0.9906951871657752,0.0139723614143649,0.8799710982658959,0.2287121613108154,0.918149345602682,0.1577572457534153,520.2,1.095445115010332
