fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0.2559241706161137,0.2516209194623292,0.2696407836688021,0.3121502797761791,0.4639300534540999,211.0,0.3977272727272727,0.2517985611510791,0.30837004405286345,139.0,0.15447154471544716,0.2638888888888889,0.19487179487179487,72.0
1,0.26,0.2581453634085213,0.2455338345864662,0.2881049298959747,0.4095643495810338,200.0,0.375,0.15671641791044777,0.22105263157894736,134.0,0.2152777777777778,0.4696969696969697,0.29523809523809524,66.0
2,0.8527918781725888,0.8417670682730924,0.8559721117974436,0.9493006993006994,0.9424691735271149,197.0,0.9401709401709402,0.8333333333333334,0.8835341365461847,132.0,0.725,0.8923076923076924,0.8,65.0
3,0.8195876288659794,0.7916858413867158,0.8168367484102774,0.9438282647584975,0.9384571634682817,194.0,0.8455882352941176,0.8914728682170543,0.8679245283018868,129.0,0.7586206896551724,0.676923076923077,0.7154471544715447,65.0
4,0.7393364928909952,0.6874074074074075,0.7290714411093557,0.7174044265593561,0.7250860337094726,211.0,0.7707006369426752,0.8642857142857143,0.8148148148148148,140.0,0.6481481481481481,0.49295774647887325,0.56,71.0
