epoch,train_loss,val_macro_f1,repeat,fold
0,0.6647905115937863,0.17040071693765202,0,0
1,0.561801930750376,0.3687140093448428,0,0
2,0.5106107528121812,0.052419510463060884,0,0
3,0.4742480557480561,0.4744525547445255,0,0
4,0.4713908284179917,0.04160011111882769,0,0
5,0.44209115379187347,0.38997821350762524,0,0
6,0.4153134206709182,0.48909818087988643,0,0
7,0.36335553069870874,0.45974988420565077,0,0
8,0.38111322013991883,0.39852579852579856,0,0
9,0.3669852246426472,0.4074573283738773,0,0
10,0.39294193299156616,0.23188025210084034,0,0
11,0.3345229954076669,0.3228454172366621,0,0
12,0.3384505456564614,0.5106066833169991,0,0
13,0.36706747471650286,0.060066740823136816,0,0
14,0.3243752108628489,0.060850236176715755,0,0
15,0.33529659169143433,0.11687499999999999,0,0
16,0.3574108648485171,0.23404255319148937,0,0
17,0.30662545162161847,0.4818056195301704,0,0
18,0.28785803070008237,0.4121290613210203,0,0
19,0.3094563904488468,0.046331837595285724,0,0
20,0.3041548227997918,0.3852631578947368,0,0
0,0.6910261291827433,0.7473684210526316,0,1
1,0.6305519377484041,0.23618090452261306,0,1
2,0.565567556453462,0.6906567992599445,0,1
3,0.5454522902738846,0.7721553486259369,0,1
4,0.5656248048656319,0.23618090452261306,0,1
5,0.5042371250610982,0.507703081232493,0,1
6,0.4910580211354301,0.5833442109385198,0,1
7,0.45838091737987724,0.5758139534883722,0,1
8,0.4310087024277012,0.6718153130709185,0,1
9,0.45912440701130414,0.37170111287758345,0,1
10,0.3899263888237267,0.4867532467532467,0,1
11,0.3660647414030326,0.44898320070733866,0,1
0,0.6728812992226916,0.4831168831168831,0,2
1,0.5569548963116954,0.13548191553849262,0,2
2,0.5134422636124336,0.06132075471698113,0,2
3,0.5154103275885665,0.4831168831168831,0,2
4,0.4719957891469767,0.649228832231665,0,2
5,0.4445618903498585,0.8704542092025447,0,2
6,0.4632951593606569,0.05103247636214148,0,2
7,0.4047115204758524,0.8704542092025447,0,2
8,0.41667735513220444,0.8704542092025447,0,2
9,0.3970814619350249,0.8704542092025447,0,2
10,0.38054279334540525,0.7500595508781047,0,2
11,0.32109023065700754,0.8704542092025447,0,2
12,0.3685308798599981,0.5584467977811397,0,2
13,0.3413158958954322,0.8017434620174346,0,2
0,0.5731187093215176,0.43010752688172044,0,3
1,0.4770428952350411,0.6037735849056604,0,3
2,0.45462431081947885,0.4475423728813559,0,3
3,0.4003922529331672,0.7573260073260073,0,3
4,0.3830588651814341,0.5004960317460317,0,3
5,0.35484535345894463,0.438028672411739,0,3
6,0.34881787669701386,0.45595085954569814,0,3
7,0.32167584334223076,0.5061325262822555,0,3
8,0.32033857053753295,0.5131506634215278,0,3
9,0.30443999630041874,0.6224354103343466,0,3
10,0.29447453425776576,0.7432411314267855,0,3
11,0.2988056655425752,0.5933503836317136,0,3
0,0.5576960916340691,0.45765765765765765,0,4
1,0.43885198436780515,0.15044707369942195,0,4
2,0.38869150345455444,0.09063444108761329,0,4
3,0.36994614088991196,0.16445747539046388,0,4
4,0.34859219792414914,0.1394281914893617,0,4
5,0.3020599821750666,0.08976815800259202,0,4
6,0.32254876723805515,0.1977173318753417,0,4
7,0.3533987180671622,0.08620517097581318,0,4
8,0.292886181247244,0.16605594780588076,0,4
