epoch,train_loss,val_macro_f1,fold
0,0.41148539112806615,0.5402825855161283,0
1,0.21442771174033895,0.5084959127684189,0
2,0.1435673219736954,0.601759160227159,0
3,0.12186689307211178,0.5367014798073827,0
4,0.11299144333024273,0.5436784534226616,0
5,0.08324468108177539,0.5556773923242421,0
6,0.0772696628897416,0.6389953380957016,0
7,0.08259993299806849,0.6424850854314975,0
8,0.05905984085247029,0.6305437289564954,0
9,0.06540291352426614,0.49729700158953355,0
10,0.05531705877209205,0.66715321363374,0
11,0.051132532516856226,0.6552444514498162,0
12,0.04579391648803451,0.6699676009481426,0
13,0.04519391983385186,0.6785092237998228,0
14,0.03947362948031126,0.6750811259748536,0
15,0.030077229582365125,0.6215898456834666,0
16,0.02756203370072239,0.600703518774754,0
17,0.027320387633782424,0.6492194048966695,0
18,0.025330364647897806,0.6614065664137984,0
19,0.02995816854618543,0.6407005205832207,0
20,0.021877243275971025,0.6460409313205396,0
21,0.020615548343922915,0.6324176395099728,0
0,0.41528703774195264,0.5280781607110471,1
1,0.2164213622916267,0.5245995521954911,1
2,0.14124069088439137,0.5562914863672914,1
3,0.12648832786422937,0.40649715820707194,1
4,0.1018442490256119,0.3710962518524265,1
5,0.08908784763428663,0.5663812835241262,1
6,0.0864670762280726,0.5638769133277791,1
7,0.07595693506388186,0.6452305876849347,1
8,0.06695327603530614,0.6189144437195514,1
9,0.06500455706230716,0.5436773786260622,1
10,0.058632355064918734,0.4915595236424759,1
11,0.05048769522147728,0.5768602237110828,1
12,0.04446086462269512,0.7642238186427653,1
13,0.04267300140056487,0.5989575145483576,1
14,0.0386036558983057,0.6044398031015986,1
15,0.03541160136236653,0.5881706306534922,1
16,0.03378367119785038,0.7054373716051652,1
17,0.02730706255502202,0.6342580192380748,1
18,0.031020254968852856,0.6808436553643279,1
19,0.029064123116054597,0.5758640136329642,1
20,0.022336052255586554,0.6764161418215737,1
0,0.47585273725377275,0.5112447013808222,2
1,0.20519675849207317,0.6632175209079026,2
2,0.13577802904992198,0.6137602213961149,2
3,0.12147970487580063,0.5914455862437903,2
4,0.09690738535798561,0.5995566282483528,2
5,0.08386075573764765,0.6933315796004752,2
6,0.07553361961549514,0.5927564293672972,2
7,0.059180280653961574,0.5889801286959689,2
8,0.06875176438758175,0.5735295447856759,2
9,0.053800986716611904,0.7232762859410142,2
10,0.04615967871678051,0.6717411046472549,2
11,0.05339923560870057,0.5774116387790114,2
12,0.04189724993473849,0.6054618142316626,2
13,0.044984801217412225,0.6119169529976176,2
14,0.030375406214992833,0.6086140685251572,2
15,0.03414959979922237,0.5861098323822995,2
16,0.03140203356351135,0.6781522710094139,2
17,0.028192768724033947,0.6814250480431179,2
0,0.48934752150029615,0.742889472097411,3
1,0.2253939742477934,0.7546379444547267,3
2,0.14653849767060706,0.6368908893613136,3
3,0.11989019864005383,0.6412327720416618,3
4,0.09584408044955134,0.6914006000342438,3
5,0.07630542872974633,0.6386766298408066,3
6,0.07779369329149469,0.6389149492328055,3
7,0.06914822496608158,0.7849861730798038,3
8,0.060825119363664214,0.7029682385855983,3
9,0.04830701167209967,0.7690854031876975,3
10,0.0541892341722985,0.7490237993195477,3
11,0.045855429013731935,0.7961634081271071,3
12,0.04359522516056301,0.6686915382080346,3
13,0.041096883495429365,0.6613162257116937,3
14,0.027404015552358805,0.6849347880471278,3
15,0.030022832569895755,0.664029668768355,3
16,0.027898054973067892,0.7573838820495288,3
17,0.019674958258090364,0.8005468215994531,3
18,0.02762712298087545,0.6033788385410661,3
19,0.02475712536024401,0.775858569777539,3
20,0.01549014411557208,0.7582083156140286,3
21,0.014854614519569011,0.8219644304657995,3
22,0.016397036761468923,0.7598899544329241,3
23,0.01407090222755367,0.8122788865102436,3
24,0.012838822593025847,0.7661599561194561,3
25,0.014536376491820947,0.7820473047319103,3
26,0.010479663340662908,0.756365933343707,3
27,0.010919175869562828,0.7667687548034098,3
28,0.010120786262594888,0.7612095354737874,3
29,0.01100875207213124,0.7781506024863257,3
0,0.4814521486427845,0.5473569903074541,4
1,0.2484562490544852,0.5192990495528662,4
2,0.16803107284761382,0.5797728430600908,4
3,0.1508450808289259,0.511778341053664,4
4,0.12114901616341733,0.6414348977759663,4
5,0.10406175493503739,0.6901307983601686,4
6,0.09566299207341274,0.5743264396886562,4
7,0.07825153884707937,0.5438657696006871,4
8,0.06574554085956907,0.7273356672950703,4
9,0.06851392783399797,0.6114202123446365,4
10,0.055640236772394325,0.6735771415912394,4
11,0.04609125330463083,0.653969451371961,4
12,0.049666529296384695,0.7027606062697762,4
13,0.04130852688698235,0.7565444120251641,4
14,0.03510364122676444,0.5691253292654479,4
15,0.03224615564759573,0.6138879545385533,4
16,0.030289909789830455,0.6050448778334283,4
17,0.03428945663979194,0.6294805093605063,4
18,0.030748377840052934,0.6389488994522793,4
19,0.026374327901313208,0.6292200325972823,4
20,0.022008518791176192,0.6749952329663375,4
21,0.018536162303148276,0.7357364802684664,4
