metric,mean,std,min,max
accuracy,0.8240618668841547,0.15109359918388648,0.6135508155583438,0.9380530973451328
macro_f1,0.7437895700192204,0.16453030615239106,0.5480484636243816,0.8993664293248945
weighted_f1,0.8112205823361199,0.16087350832222813,0.6246059404616419,0.9396477580054089
roc_auc_ovr_macro,0.9512268661492544,0.042258475992643395,0.9035023024669145,0.9905163251716523
average_precision_macro,0.8909809155225373,0.05694507349844637,0.8498291430067845,0.9713352934959295
n_items,832.0,80.17480901130978,791.0,975.0
precision_HumpbackWhale,0.7098009237139673,0.27696483573862873,0.2571428571428571,1.0
recall_HumpbackWhale,0.6221227176664852,0.4065401695911672,0.03543307086614173,1.0
f1_HumpbackWhale,0.5189302849919473,0.30611796903594823,0.06844106463878327,0.8354430379746836
support_HumpbackWhale,109.2,81.16464747659538,68.0,254.0
precision_SpermWhale,0.8026666623219686,0.16763952230747156,0.5609065155807366,0.9507389162561576
recall_SpermWhale,0.8767838852850802,0.11189273544652455,0.6945812807881774,0.9801980198019802
f1_SpermWhale,0.8282362428109554,0.11644960667329483,0.6945812807881774,0.9530864197530864
support_SpermWhale,202.6,0.5477225575051661,202.0,203.0
precision_KillerWhale,0.9091713538181805,0.07483879550854172,0.7960848287112561,0.9880952380952381
recall_KillerWhale,0.8795703071096733,0.19712803591863268,0.5287356321839081,0.9923076923076923
f1_KillerWhale,0.8842021822547583,0.1332967278082586,0.6602870813397129,0.9735849056603774
support_KillerWhale,520.2,1.0954451150103321,519.0,522.0
