example,peak_frequency_hz
HumpbackWhale (predicted HumpbackWhale),50.0
HumpbackWhale (predicted HumpbackWhale),808.7465993228208
SpermWhale (predicted SpermWhale),50.0
SpermWhale (predicted SpermWhale),50.0
KillerWhale (predicted KillerWhale),2425.8826493269858
KillerWhale (predicted KillerWhale),195.9128075620809
