epoch,train_loss,val_macro_f1,repeat,fold
0,0.943794453244834,0.30301886425548735,0,0
1,0.506619103839158,0.36133420291929547,0,0
2,0.3065881123963101,0.3800436035331427,0,0
3,0.2230858806274047,0.3830118766394433,0,0
4,0.1809595259808755,0.41431674761291176,0,0
5,0.15607548229625753,0.4214138805184866,0,0
6,0.13764915561191415,0.43555533207064356,0,0
7,0.12341101439420452,0.439871471999665,0,0
8,0.11240822729641678,0.4436303051384037,0,0
9,0.10327512293778139,0.44848066790800695,0,0
10,0.09496845916276439,0.4441845379564064,0,0
11,0.08818712849885939,0.461922738081316,0,0
12,0.08240396043926351,0.4629659863945578,0,0
13,0.07723254376141855,0.44859007365299536,0,0
14,0.07360164884123242,0.46179974442474964,0,0
15,0.06888520727966796,0.47191278095211997,0,0
16,0.06579455485446373,0.45899817244914826,0,0
17,0.062324244836388425,0.460327677004096,0,0
18,0.059673753952951256,0.4742363043413218,0,0
19,0.05684183016914217,0.46127737644765504,0,0
20,0.05507945320551173,0.46717554941508127,0,0
21,0.05243154963027498,0.4660921932360628,0,0
22,0.05048393080950767,0.46273079567270775,0,0
23,0.04909775309185191,0.47014939239064346,0,0
24,0.04745956610466158,0.48295927276638356,0,0
25,0.04591523132308145,0.4726480768482868,0,0
26,0.044584113013686776,0.4822199494750828,0,0
27,0.04366206301349609,0.4718220559193431,0,0
28,0.042195099451114146,0.48031802336081975,0,0
29,0.04109672547919118,0.48521630874572047,0,0
30,0.04026558399567796,0.4836777459383718,0,0
31,0.03924624473426298,0.4785613263879384,0,0
32,0.038534309317688274,0.4826990022636563,0,0
33,0.03763686733394951,0.48278579959117024,0,0
34,0.036994768653352106,0.48174434919757064,0,0
35,0.036290331617144664,0.4860704620662415,0,0
36,0.03575332263065886,0.48598362420763835,0,0
37,0.035199991851133414,0.4857228671611975,0,0
38,0.03477614415626959,0.48460759099056966,0,0
39,0.03429922046172448,0.48331350803708206,0,0
40,0.033904968842813056,0.4855488259534826,0,0
41,0.033444903814941376,0.4829219609863557,0,0
42,0.03319236561715975,0.4866282004466796,0,0
43,0.03288631048259672,0.48541818821777233,0,0
44,0.03257606891417772,0.4841525771947353,0,0
45,0.03243647700538876,0.485592351509695,0,0
46,0.03217571027596416,0.4811787810655419,0,0
47,0.03198665737862869,0.48452046861775583,0,0
48,0.03181499293762617,0.4845640348972513,0,0
49,0.03163843781346765,0.4846946726329615,0,0
50,0.031561965622498155,0.4847817135734873,0,0
51,0.03145128141951455,0.484651136901283,0,0
52,0.03140625017336207,0.4856358668940084,0,0
0,0.9569062498078418,0.2383097572878595,0,1
1,0.5121875720491795,0.2921702916748557,0,1
2,0.3027065820340663,0.3385557320128381,0,1
3,0.218012872179434,0.3486717841514811,0,1
4,0.17629505300572687,0.3749380980394112,0,1
5,0.15113757748021753,0.38036560045958007,0,1
6,0.13408673279829372,0.3832250619650795,0,1
