metric,mean,std,min,max,folds
accuracy,0.7720207460117297,0.10387640687179221,0.5636588380716935,0.943558282208589,50
macro_f1,0.7221476342937336,0.10004475869443849,0.5466375198639795,0.9015405647682729,50
weighted_f1,0.7866854504695452,0.08848082056139668,0.6117408863779162,0.9415780801289252,50
roc_auc_ovr_macro,0.9087282620103891,0.052522199645131974,0.7831731874228756,0.9750002513107554,50
average_precision_macro,0.7804260718993661,0.09322398751309849,0.6104865589731024,0.9294171363630079,50
n_items,843.4,66.49719957276703,809.0,975.0,50
precision_HumpbackWhale,0.532762359606831,0.23760996096494505,0.1918238993710692,0.9014084507042254,50
recall_HumpbackWhale,0.7447817766536928,0.11097991545532776,0.5116279069767442,0.9651162790697675,50
f1_HumpbackWhale,0.5850146788432047,0.17150906307892907,0.30198019801980197,0.7950310559006211,50
support_HumpbackWhale,120.6,67.3873966294128,86.0,254.0,50
precision_SpermWhale,0.7516478853238882,0.13533176834335464,0.5141242937853108,0.9411764705882353,50
recall_SpermWhale,0.7555650392625468,0.16217057530817353,0.33004926108374383,0.9704433497536946,50
f1_SpermWhale,0.7385806342441633,0.11634199168041122,0.4253968253968254,0.9434889434889435,50
support_SpermWhale,202.6,0.49487165930539345,202.0,203.0,50
precision_KillerWhale,0.9164613481407976,0.042422672926858536,0.8092307692307692,0.9811764705882353,50
recall_KillerWhale,0.7900759750182712,0.1474832222243604,0.49423076923076925,0.9827586206896551,50
f1_KillerWhale,0.8428475897938327,0.10280963421130536,0.6224852071005917,0.9661016949152542,50
support_KillerWhale,520.2,0.989743318610787,519.0,522.0,50
