feature,gain,fold
contrast_1_std,0.008746437728404999,2
spectral_entropy_std,0.008441317826509476,2
centroid_mean,0.00789907667785883,2
mfcc_delta_15_p90,0.0077259736135602,2
centroid_p10,0.007627887651324272,2
mfcc_16_mean,0.007350803818553686,2
mfcc_12_mean,0.007301533594727516,2
rms_p90,0.007040506694465876,2
mfcc_delta_1_p10,0.007027345709502697,2
rms_mean,0.006991961970925331,2
contrast_1_p90,0.006987745873630047,2
mfcc_delta_0_p90,0.006926936563104391,2
mfcc_delta_4_p90,0.006769530009478331,2
mfcc_19_mean,0.006392296403646469,2
mfcc_9_p90,0.006372625008225441,2
flatness_mean,0.006349749397486448,2
mfcc_delta_1_std,0.006271114572882652,2
mfcc_5_p90,0.006195186171680689,2
flatness_p10,0.006138712167739868,2
contrast_0_std,0.006125521380454302,2
contrast_3_mean,0.005996259860694408,2
contrast_3_p10,0.005965906195342541,2
mfcc_2_p90,0.005910820793360472,2
mfcc_8_p90,0.005838325712829828,2
mfcc_15_std,0.00580119714140892,2
mfcc_5_p10,0.005609006155282259,2
mfcc_12_p90,0.005598790477961302,2
rms_p10,0.005581261124461889,2
mfcc_0_p10,0.005549687892198563,2
contrast_1_mean,0.005393364932388067,2
flatness_std,0.005269864108413458,2
mfcc_delta_2_p90,0.04939616471529007,3
dominant_frequency,0.049061305820941925,3
contrast_5_std,0.03603524714708328,3
contrast_0_std,0.031114373356103897,3
bandwidth_p90,0.021284831687808037,3
mfcc_delta_10_std,0.020712312310934067,3
rolloff85_p90,0.019753390923142433,3
mfcc_8_p10,0.018406109884381294,3
mfcc_16_mean,0.017064735293388367,3
mfcc_2_p10,0.016397256404161453,3
mfcc_14_p10,0.014944855123758316,3
mfcc_18_mean,0.01429006364196539,3
mfcc_2_std,0.013501759618520737,3
mfcc_16_p90,0.012427488341927528,3
mfcc_12_p10,0.012396713718771935,3
mfcc_11_p90,0.01203665416687727,3
mfcc_3_p10,0.01126574445515871,3
mfcc_delta_5_p10,0.011198080144822598,3
mfcc_delta_11_p10,0.01099635660648346,3
mfcc_15_p10,0.010867893695831299,3
mfcc_9_p10,0.010597048327326775,3
mfcc_10_p10,0.010184617713093758,3
centroid_p90,0.010175284929573536,3
mfcc_16_p10,0.009219241328537464,3
mfcc_6_mean,0.009161269292235374,3
mfcc_14_mean,0.008996984921395779,3
rms_p10,0.008881105110049248,3
mfcc_7_p10,0.008795516565442085,3
mfcc_18_p10,0.008122894912958145,3
mfcc_delta_17_p90,0.007905172184109688,3
mfcc_10_std,0.0077286409214138985,3
mfcc_delta_9_p90,0.007610326167196035,3
mfcc_9_p90,0.0075216228142380714,3
flatness_p90,0.007398243993520737,3
mfcc_5_std,0.00721708731725812,3
centroid_p10,0.007005244959145784,3
contrast_5_mean,0.006854305509477854,3
mfcc_14_p90,0.006608711555600166,3
flatness_std,0.006266218610107899,3
contrast_5_p10,0.006256550084799528,3
mfcc_17_mean,0.0061241560615599155,3
mfcc_3_mean,0.006121884100139141,3
mfcc_delta_15_p90,0.005963841453194618,3
mfcc_3_p90,0.005842630285769701,3
mfcc_4_p10,0.005829223897308111,3
bandwidth_std,0.005705157294869423,3
mfcc_delta_12_p90,0.00565091148018837,3
mfcc_delta_17_std,0.005634694825857878,3
spectral_entropy_p90,0.005615349393337965,3
mfcc_18_p90,0.0055308872833848,3
mfcc_delta_2_p10,0.005489814095199108,3
flatness_mean,0.00548844039440155,3
mfcc_0_p90,0.005479941610246897,3
mfcc_delta_3_p90,0.005456368438899517,3
mfcc_1_p90,0.005250228568911552,3
mfcc_9_mean,0.005235721357166767,3
mfcc_delta_8_std,0.005198974162340164,3
contrast_2_p10,0.005156148225069046,3
mfcc_6_p10,0.005140931811183691,3
mfcc_11_p10,0.005130933132022619,3
centroid_p90,0.08702453225851059,4
rolloff85_p90,0.07935064285993576,4
mfcc_1_p10,0.049467653036117554,4
mfcc_11_mean,0.02911105379462242,4
zero_crossing_rate_std,0.02218206785619259,4
mfcc_delta_3_std,0.019598588347434998,4
contrast_1_p10,0.01550756860524416,4
mfcc_13_p90,0.015008482150733471,4
mfcc_15_mean,0.01430024765431881,4
centroid_std,0.011692308820784092,4
mfcc_10_p90,0.011061089113354683,4
rms_mean,0.010293963365256786,4
mfcc_15_p10,0.010147389955818653,4
rms_std,0.009968911297619343,4
mfcc_delta_13_p10,0.009962194599211216,4
mfcc_delta_5_std,0.009891059249639511,4
mfcc_6_p90,0.009650660678744316,4
mfcc_delta_3_p10,0.00959030818194151,4
mfcc_13_mean,0.009497498162090778,4
rms_p90,0.009011728689074516,4
mfcc_delta_5_p90,0.008551170118153095,4
mfcc_10_mean,0.008289724588394165,4
rolloff85_mean,0.008151313289999962,4
contrast_1_p90,0.008044353686273098,4
mfcc_12_p10,0.007918681018054485,4
mfcc_3_p10,0.007846282795071602,4
mfcc_8_p10,0.007605303078889847,4
mfcc_8_p90,0.007399743888527155,4
flatness_std,0.007190321572124958,4
mfcc_1_mean,0.007163321133702993,4
bandwidth_p90,0.006965641863644123,4
contrast_5_std,0.0068033779971301556,4
mfcc_0_p90,0.006762983277440071,4
spectral_entropy_std,0.006615852005779743,4
rolloff85_p10,0.006547559984028339,4
mfcc_delta_8_p10,0.006546787451952696,4
mfcc_5_p90,0.006533883977681398,4
mfcc_delta_9_std,0.006498452741652727,4
mfcc_18_mean,0.006459214258939028,4
